neighborhood,year,month,incident_type,response_min
Lincoln Square,2024,11,Medical,9.29
Morgan Park,2019,1,Medical,6.26
Grand Boulevard,2024,10,Police,7.91
Jefferson Park,2020,9,Police,8.9
Kenwood,2022,3,Police,8.34
Near South Side,2020,10,Medical,10.73
Morgan Park,2024,3,Medical,10.63
Austin,2022,4,Police,8.52
Washington Park,2023,8,Medical,7.75
Hyde Park,2019,1,Police,12.16
Jefferson Park,2021,4,Police,9.29
West Town,2020,7,Police,11.46
Washington Heights,2021,12,Fire,8.91
Riverdale,2023,3,Police,18.37
Rogers Park,2020,7,Fire,13.07
Lake View,2021,11,Police,5.76
Jefferson Park,2023,5,Police,9.61
Lincoln Park,2022,10,Medical,4.84
South Shore,2023,11,Police,9.91
Hyde Park,2020,9,Medical,6.84
South Shore,2024,8,Police,10.12
Mount Greenwood,2024,11,Medical,7.58
West Town,2024,3,Medical,11.88
Lincoln Park,2020,12,Police,7.55
Woodlawn,2020,4,Police,16.68
Beverly,2023,7,Medical,10.21
Lincoln Square,2020,2,Fire,7.42
Portage Park,2023,10,Fire,5.52
Near South Side,2024,11,Police,7.77
Roseland,2019,6,Fire,10.16
North Lawndale,2019,9,Police,12.3
West Englewood,2019,12,Police,10.37
Uptown,2021,9,Police,14.14
Irving Park,2019,6,Police,7.9
Woodlawn,2019,12,Medical,9.5
Roseland,2023,6,Police,6.61
Near South Side,2023,6,Police,10.03
Beverly,2024,11,Police,9.77
Near South Side,2020,10,Police,15.03
Beverly,2020,6,Fire,7.67
Mount Greenwood,2020,3,Medical,8.77
West Town,2024,4,Fire,9.8
North Lawndale,2023,6,Police,12.75
Chatham,2023,10,Medical,10.45
Beverly,2019,1,Fire,5.53
Near South Side,2022,1,Medical,7.25
West Garfield Park,2023,7,Police,11.44
Morgan Park,2024,1,Medical,10.16
North Lawndale,2022,5,Medical,10.41
Auburn Gresham,2023,10,Fire,12.02
Beverly,2024,11,Police,14.11
Irving Park,2023,8,Police,8.01
Portage Park,2021,6,Police,11.16
Loop,2022,3,Fire,4.54
Jefferson Park,2021,2,Medical,6.11
Rogers Park,2019,2,Medical,7.01
Uptown,2021,4,Medical,10.68
Near South Side,2021,9,Police,11.12
Grand Boulevard,2024,9,Police,9.76
Jefferson Park,2019,1,Police,10.17
Near West Side,2022,5,Police,6.21
Near West Side,2020,9,Medical,9.05
Grand Boulevard,2023,4,Medical,8.9
Woodlawn,2024,11,Police,13.1
Woodlawn,2022,7,Police,14.68
Washington Heights,2019,11,Police,11.26
Greater Grand Crossing,2021,6,Medical,10.69
Irving Park,2020,4,Police,7.76
Woodlawn,2021,10,Medical,12.66
Englewood,2023,11,Medical,6.75
Riverdale,2019,12,Medical,8.8
South Shore,2020,7,Medical,8.04
Pullman,2022,7,Medical,9.1
West Pullman,2022,2,Medical,8.29
Loop,2019,7,Medical,3.31
Mount Greenwood,2019,9,Medical,3.83
West Englewood,2024,6,Medical,9.81
Pullman,2021,12,Medical,5.87
Pullman,2020,6,Police,10.0
Beverly,2023,11,Medical,4.55
Douglas,2019,6,Police,14.26
Morgan Park,2020,12,Medical,8.81
Jefferson Park,2024,2,Fire,9.53
Jefferson Park,2019,12,Police,7.55
West Town,2019,6,Police,9.38
Logan Square,2022,6,Police,9.27
Douglas,2020,9,Medical,6.67
Austin,2022,2,Police,6.37
West Pullman,2024,9,Police,12.82
West Ridge,2022,5,Medical,11.2
Hyde Park,2024,9,Police,8.31
Humboldt Park,2020,10,Medical,9.26
Beverly,2024,10,Police,3.49
Englewood,2024,2,Fire,9.41
Edison Park,2022,5,Police,3.33
Greater Grand Crossing,2021,11,Medical,9.46
Near South Side,2023,2,Medical,9.52
South Shore,2023,5,Medical,8.54
Lincoln Park,2021,7,Police,11.91
Loop,2019,12,Medical,7.05
Pullman,2022,7,Medical,6.53
Riverdale,2023,12,Police,10.1
Near North Side,2020,11,Fire,2.21
Edison Park,2024,7,Fire,1.87
Jefferson Park,2024,5,Medical,6.66
West Ridge,2019,7,Medical,8.95
West Garfield Park,2023,6,Medical,11.12
Auburn Gresham,2022,7,Medical,12.63
West Garfield Park,2023,5,Medical,12.13
Beverly,2022,12,Medical,6.96
West Englewood,2019,2,Medical,6.69
Washington Heights,2024,9,Medical,8.08
Roseland,2021,2,Police,9.79
Lincoln Park,2024,3,Medical,3.3
Lincoln Square,2022,9,Medical,12.35
Auburn Gresham,2022,2,Police,8.77
West Englewood,2019,8,Medical,12.27
Jefferson Park,2019,12,Medical,6.46
Lincoln Park,2020,3,Fire,7.78
Logan Square,2024,6,Medical,6.82
Douglas,2024,9,Police,14.97
South Shore,2019,10,Police,9.34
Roseland,2023,10,Police,14.16
Greater Grand Crossing,2022,3,Medical,12.76
West Ridge,2021,9,Fire,11.49
Greater Grand Crossing,2019,7,Medical,7.52
Edison Park,2022,5,Police,5.63
Jefferson Park,2021,8,Police,8.82
Rogers Park,2020,6,Fire,9.85
Logan Square,2023,7,Medical,11.6
West Town,2020,3,Fire,10.02
West Pullman,2019,10,Medical,8.33
Englewood,2023,11,Medical,9.57
Pullman,2020,6,Police,11.71
Humboldt Park,2022,11,Police,11.68
Humboldt Park,2019,3,Medical,13.41
Chatham,2024,7,Police,4.8
Near West Side,2020,10,Police,10.47
Woodlawn,2023,6,Police,11.72
Jefferson Park,2023,10,Police,6.77
Auburn Gresham,2024,12,Police,7.69
Auburn Gresham,2021,8,Medical,6.04
South Shore,2023,8,Medical,11.01
Kenwood,2023,6,Fire,8.15
South Shore,2019,2,Medical,10.01
Greater Grand Crossing,2023,10,Police,15.14
North Lawndale,2021,10,Police,10.98
Washington Park,2023,6,Fire,6.93
West Englewood,2021,1,Police,13.16
Lincoln Square,2022,6,Medical,7.94
Humboldt Park,2021,6,Medical,11.76
Washington Heights,2019,6,Medical,5.58
Hyde Park,2020,12,Medical,10.17
Edison Park,2024,9,Medical,13.28
Kenwood,2020,4,Police,9.34
Austin,2022,11,Medical,7.76
Loop,2019,7,Police,5.28
West Town,2022,11,Police,10.94
Near North Side,2022,3,Medical,4.06
West Garfield Park,2023,8,Police,11.22
Douglas,2023,2,Medical,7.79
Douglas,2019,2,Medical,11.44
Irving Park,2020,5,Police,8.27
North Lawndale,2021,1,Police,6.63
West Town,2023,1,Police,9.38
Auburn Gresham,2019,11,Medical,5.51
Austin,2019,3,Fire,12.37
Lake View,2020,6,Police,5.4
West Ridge,2019,10,Police,12.98
South Shore,2024,12,Medical,10.01
Morgan Park,2019,6,Medical,12.06
Woodlawn,2020,8,Medical,10.62
Pullman,2023,7,Police,10.14
Morgan Park,2020,1,Medical,6.86
Greater Grand Crossing,2022,1,Medical,11.68
Rogers Park,2023,4,Police,11.92
Chatham,2022,1,Police,10.37
Rogers Park,2019,1,Police,8.61
Edison Park,2022,10,Medical,4.83
Austin,2020,1,Fire,18.44
South Shore,2020,11,Police,10.54
Douglas,2021,3,Fire,6.2
North Lawndale,2024,10,Medical,7.52
Douglas,2019,2,Medical,12.31
Morgan Park,2020,11,Fire,8.97
Irving Park,2023,10,Fire,15.96
Near West Side,2020,8,Police,11.9
Washington Park,2023,7,Police,8.57
Lake View,2019,10,Medical,7.68
Englewood,2024,8,Police,10.33
Washington Heights,2021,4,Police,9.59
Albany Park,2021,9,Medical,6.09
Near North Side,2022,5,Medical,5.65
Auburn Gresham,2020,7,Fire,7.86
West Town,2019,4,Medical,12.08
Kenwood,2022,1,Fire,7.86
Hyde Park,2019,11,Medical,9.37
Hyde Park,2019,12,Medical,7.52
Hyde Park,2022,8,Police,10.09
Albany Park,2019,9,Police,6.2
West Garfield Park,2022,9,Police,10.85
Humboldt Park,2024,10,Fire,9.79
West Ridge,2020,8,Medical,8.98
Logan Square,2022,1,Police,10.64
Woodlawn,2020,3,Fire,9.2
Jefferson Park,2021,5,Police,11.22
Near North Side,2022,7,Medical,4.75
Albany Park,2024,12,Medical,10.14
Jefferson Park,2021,8,Medical,7.91
Douglas,2022,1,Fire,7.01
Grand Boulevard,2019,5,Police,8.85
Near North Side,2021,3,Police,7.49
Jefferson Park,2023,7,Fire,8.64
Woodlawn,2023,6,Police,14.03
Kenwood,2023,12,Medical,7.95
Chatham,2021,1,Medical,9.85
West Garfield Park,2020,11,Police,11.7
Loop,2022,2,Police,14.12
Near North Side,2019,5,Medical,6.22
Mount Greenwood,2019,5,Medical,9.06
Near North Side,2021,1,Medical,8.18
South Shore,2023,11,Police,10.27
Near West Side,2024,12,Medical,10.23
Loop,2019,12,Police,8.61
Washington Heights,2024,4,Police,13.18
Mount Greenwood,2024,12,Police,9.92
Near North Side,2019,9,Medical,5.31
Lincoln Park,2020,9,Medical,11.21
Washington Park,2019,5,Medical,10.14
Morgan Park,2019,7,Police,9.64
Logan Square,2022,11,Police,8.03
Washington Heights,2019,2,Police,5.53
Mount Greenwood,2022,1,Medical,8.45
Douglas,2023,12,Fire,5.22
West Garfield Park,2020,2,Police,10.96
Douglas,2024,4,Fire,12.07
Englewood,2019,6,Police,10.55
Edison Park,2020,3,Police,3.26
North Lawndale,2024,2,Police,7.86
Kenwood,2020,7,Police,9.0
West Ridge,2024,8,Police,8.1
West Ridge,2024,9,Medical,10.09
Woodlawn,2020,11,Medical,8.7
Humboldt Park,2021,12,Police,15.64
Washington Heights,2022,10,Medical,11.19
Irving Park,2024,8,Police,10.08
West Pullman,2024,2,Medical,8.32
South Shore,2024,3,Medical,8.72
South Shore,2024,1,Medical,9.63
Washington Park,2020,1,Police,9.71
Lincoln Square,2024,6,Medical,9.15
Hyde Park,2023,3,Police,7.84
Greater Grand Crossing,2019,4,Police,10.14
Uptown,2024,10,Medical,10.3
Rogers Park,2020,12,Medical,9.42
West Garfield Park,2024,8,Medical,9.97
Near North Side,2020,5,Medical,8.22
Lake View,2024,12,Police,8.47
Near West Side,2019,11,Police,8.27
Washington Heights,2024,6,Medical,11.61
Englewood,2023,9,Fire,8.22
West Englewood,2024,11,Police,10.78
Austin,2024,11,Medical,8.56
Mount Greenwood,2020,2,Police,5.51
Washington Heights,2020,3,Police,6.35
Woodlawn,2024,5,Medical,13.32
Morgan Park,2023,2,Police,9.37
Beverly,2020,8,Medical,7.66
Washington Park,2023,2,Medical,9.06
Hyde Park,2020,4,Police,9.88
Humboldt Park,2019,3,Fire,5.52
Humboldt Park,2023,4,Medical,9.24
Humboldt Park,2019,4,Medical,11.9
Washington Park,2019,6,Fire,12.75
Greater Grand Crossing,2020,10,Medical,7.96
Lincoln Square,2023,12,Medical,7.08
West Town,2021,12,Fire,11.56
West Pullman,2019,10,Medical,8.47
North Lawndale,2019,10,Medical,12.44
Humboldt Park,2019,9,Police,9.8
Rogers Park,2020,3,Medical,6.9
Loop,2020,1,Police,4.42
Albany Park,2019,8,Medical,7.74
Albany Park,2024,7,Medical,11.01
Kenwood,2020,2,Medical,8.35
Englewood,2020,5,Fire,9.01
South Shore,2020,12,Medical,11.19
Woodlawn,2022,12,Medical,8.06
Mount Greenwood,2023,10,Police,8.22
Rogers Park,2020,4,Medical,9.35
Riverdale,2022,9,Medical,8.63
Lincoln Square,2022,4,Medical,6.88
Near North Side,2020,5,Police,2.85
Jefferson Park,2024,8,Police,9.72
Austin,2022,3,Fire,12.03
Lake View,2021,6,Fire,3.22
Englewood,2022,6,Fire,16.31
Grand Boulevard,2023,7,Medical,6.64
Washington Park,2022,9,Police,7.82
Logan Square,2020,11,Police,11.8
Kenwood,2024,3,Fire,6.67
Portage Park,2019,5,Medical,8.54
West Garfield Park,2021,5,Medical,13.04
Auburn Gresham,2022,5,Medical,6.3
Logan Square,2024,6,Police,9.61
Woodlawn,2021,1,Fire,9.88
Loop,2023,9,Police,2.17
Riverdale,2022,12,Police,10.13
West Pullman,2022,3,Police,13.67
Edison Park,2021,6,Medical,11.16
Chatham,2022,4,Medical,8.34
Mount Greenwood,2022,7,Medical,7.39
Near West Side,2019,8,Medical,11.56
Lincoln Park,2021,4,Police,2.24
Washington Heights,2020,10,Fire,10.66
Morgan Park,2020,6,Medical,9.32
Near South Side,2023,12,Medical,8.33
Douglas,2019,12,Fire,8.22
Albany Park,2021,10,Medical,7.66
Albany Park,2021,7,Medical,6.63
Chatham,2019,12,Police,10.6
Austin,2019,10,Police,6.34
Rogers Park,2023,7,Medical,7.75
West Garfield Park,2020,9,Medical,7.89
Roseland,2024,8,Fire,7.53
Hyde Park,2021,3,Medical,2.63
Near West Side,2024,4,Medical,9.44
Near South Side,2019,9,Police,13.06
West Garfield Park,2021,11,Police,19.53
Mount Greenwood,2020,7,Police,8.67
Near South Side,2021,7,Fire,10.16
Morgan Park,2024,1,Police,9.63
Mount Greenwood,2021,2,Police,8.07
Near West Side,2019,1,Medical,8.49
Near North Side,2019,4,Medical,6.21
West Garfield Park,2019,4,Medical,8.5
Rogers Park,2020,5,Fire,7.21
Auburn Gresham,2022,5,Police,10.68
Lincoln Park,2020,12,Police,2.91
Hyde Park,2019,1,Medical,7.51
West Ridge,2023,7,Police,8.1
West Pullman,2021,6,Police,4.43
Lake View,2021,8,Medical,6.99
Auburn Gresham,2024,4,Medical,6.9
Pullman,2021,1,Medical,5.09
Irving Park,2024,12,Police,10.55
West Englewood,2021,3,Police,12.98
Roseland,2023,9,Fire,8.84
Lincoln Park,2024,10,Police,2.69
West Town,2019,7,Police,14.6
West Town,2022,2,Police,8.04
Austin,2021,3,Fire,12.88
Loop,2024,2,Medical,9.49
Logan Square,2022,4,Police,6.06
Pullman,2024,2,Medical,15.25
Englewood,2020,4,Police,9.44
Chatham,2020,11,Police,7.96
Uptown,2021,7,Police,11.3
Jefferson Park,2019,8,Medical,5.97
Portage Park,2023,10,Police,7.13
Portage Park,2024,6,Medical,4.52
Washington Park,2021,11,Fire,7.13
Douglas,2020,9,Police,7.05
Jefferson Park,2020,6,Medical,15.73
Loop,2024,11,Medical,7.59
Near South Side,2024,11,Police,7.53
Albany Park,2024,3,Police,8.46
Douglas,2022,1,Police,7.11
Chatham,2023,9,Police,6.09
Jefferson Park,2024,3,Medical,4.8
Lake View,2024,1,Fire,2.99
Mount Greenwood,2021,12,Police,8.76
Portage Park,2019,11,Police,8.74
Rogers Park,2022,2,Police,9.35
Rogers Park,2023,12,Medical,13.96
Washington Heights,2022,3,Police,10.21
Lake View,2024,8,Police,5.34
Douglas,2019,8,Police,10.18
Hyde Park,2024,2,Medical,2.54
Lincoln Park,2020,6,Police,3.96
West Pullman,2024,2,Fire,11.01
Portage Park,2021,7,Police,9.59
Albany Park,2021,10,Fire,5.53
Washington Heights,2019,11,Fire,5.75
Englewood,2024,11,Police,10.04
Pullman,2021,3,Medical,9.35
Irving Park,2021,8,Medical,9.7
Austin,2024,3,Police,13.67
Beverly,2022,10,Police,7.76
Uptown,2019,6,Medical,7.0
West Ridge,2022,1,Police,7.15
Lake View,2021,8,Fire,4.04
Portage Park,2024,7,Police,6.31
Washington Park,2023,1,Police,10.21
West Englewood,2024,7,Police,11.21
West Englewood,2023,11,Police,11.46
Douglas,2022,5,Police,13.12
Auburn Gresham,2020,2,Fire,11.19
Douglas,2024,1,Fire,9.09
Portage Park,2020,2,Police,11.2
West Pullman,2019,6,Medical,7.95
West Englewood,2023,2,Fire,8.9
Pullman,2023,6,Police,5.7
Edison Park,2022,12,Medical,5.82
Loop,2024,8,Police,2.23
Englewood,2021,8,Police,15.9
Lincoln Square,2019,6,Police,7.89
North Lawndale,2022,5,Police,9.71
Lincoln Square,2020,4,Medical,14.85
Loop,2024,6,Fire,1.81
Jefferson Park,2021,5,Police,10.05
Austin,2019,10,Medical,13.71
Hyde Park,2024,4,Fire,7.06
Beverly,2021,6,Medical,8.5
Washington Park,2020,9,Police,8.17
Lincoln Square,2022,9,Medical,9.38
Morgan Park,2022,8,Medical,6.12
Morgan Park,2023,10,Police,5.33
Beverly,2024,1,Fire,5.7
Near West Side,2022,9,Medical,9.65
Humboldt Park,2023,5,Medical,5.55
Near South Side,2022,11,Medical,8.88
West Town,2019,3,Police,13.9
Uptown,2024,8,Police,10.51
Auburn Gresham,2020,8,Medical,13.41
Austin,2024,9,Fire,13.01
Humboldt Park,2024,2,Medical,14.72
Jefferson Park,2021,10,Police,8.76
Near North Side,2020,4,Police,5.17
Humboldt Park,2020,10,Fire,7.77
Lincoln Park,2023,2,Police,6.25
Near South Side,2023,6,Police,8.16
West Town,2019,1,Medical,18.87
Edison Park,2021,10,Medical,11.4
Englewood,2022,3,Police,12.61
Mount Greenwood,2022,2,Fire,8.16
Rogers Park,2020,7,Medical,7.97
West Pullman,2024,8,Police,13.71
Lake View,2019,2,Police,5.68
Roseland,2024,9,Police,17.85
Douglas,2021,11,Fire,7.19
Loop,2022,1,Police,4.88
Austin,2020,2,Medical,12.48
Near North Side,2019,3,Police,4.77
Near North Side,2021,2,Medical,4.3
West Ridge,2024,1,Medical,6.88
Humboldt Park,2020,8,Medical,10.86
Pullman,2020,1,Fire,6.9
Morgan Park,2024,5,Police,15.35
Humboldt Park,2019,11,Medical,12.48
Lake View,2019,6,Medical,8.31
Portage Park,2019,7,Medical,8.11
Mount Greenwood,2019,3,Police,6.35
Lake View,2021,12,Fire,6.54
Chatham,2019,11,Medical,10.7
Portage Park,2019,7,Medical,4.71
Lake View,2019,8,Medical,6.5
West Pullman,2021,10,Police,12.28
Greater Grand Crossing,2022,3,Medical,9.53
West Town,2020,5,Fire,9.96
Near West Side,2023,1,Fire,9.48
Douglas,2024,9,Fire,9.7
Englewood,2020,8,Police,16.78
West Garfield Park,2021,3,Police,9.55
Irving Park,2024,4,Medical,3.02
Washington Park,2019,1,Medical,10.53
West Garfield Park,2021,1,Police,5.3
Albany Park,2022,6,Medical,11.22
South Shore,2023,6,Police,14.06
North Lawndale,2022,9,Police,14.42
North Lawndale,2019,12,Police,14.51
West Pullman,2021,5,Police,10.81
Humboldt Park,2021,3,Medical,8.24
Austin,2019,6,Medical,9.9
North Lawndale,2019,8,Medical,7.42
Austin,2023,12,Police,10.09
West Garfield Park,2022,7,Medical,7.26
Near North Side,2019,11,Police,5.09
Irving Park,2019,10,Fire,10.05
Englewood,2022,3,Police,12.1
Albany Park,2019,1,Fire,7.59
Lake View,2024,4,Medical,3.2
Near South Side,2023,6,Medical,9.79
Uptown,2023,4,Police,10.53
Near West Side,2022,5,Police,9.03
West Englewood,2020,10,Medical,8.68
Lincoln Park,2023,7,Police,7.22
Humboldt Park,2021,5,Police,10.4
Lincoln Square,2021,5,Police,7.98
North Lawndale,2020,2,Medical,11.22
Chatham,2023,1,Medical,10.35
West Englewood,2019,4,Medical,8.11
Beverly,2024,11,Police,6.32
Austin,2020,10,Police,7.86
Loop,2019,8,Medical,6.03
Kenwood,2024,3,Fire,8.09
West Englewood,2021,6,Medical,10.76
Near West Side,2024,10,Police,9.33
Lincoln Square,2020,2,Fire,8.86
Riverdale,2023,9,Police,10.88
West Ridge,2021,9,Medical,5.86
Logan Square,2023,4,Medical,7.94
Roseland,2019,12,Police,10.87
Englewood,2023,11,Medical,11.22
Roseland,2024,12,Police,9.83
Kenwood,2020,8,Police,5.87
Riverdale,2019,2,Medical,8.4
Morgan Park,2020,10,Medical,5.14
Albany Park,2024,2,Police,16.33
North Lawndale,2019,6,Medical,11.95
Near West Side,2020,2,Fire,5.33
Near North Side,2021,1,Police,6.36
Near West Side,2020,10,Medical,8.16
Kenwood,2021,2,Medical,8.05
West Town,2024,2,Fire,10.36
Morgan Park,2022,5,Police,5.67
Grand Boulevard,2023,6,Medical,6.53
Lincoln Square,2019,11,Medical,2.9
Beverly,2023,3,Medical,7.02
Lincoln Square,2024,8,Police,7.24
Lake View,2021,2,Police,7.76
Morgan Park,2021,10,Medical,8.82
Grand Boulevard,2021,3,Medical,7.98
Mount Greenwood,2020,4,Medical,5.89
Auburn Gresham,2023,5,Medical,12.81
Portage Park,2021,5,Police,7.38
Portage Park,2022,6,Medical,12.41
Logan Square,2024,4,Police,12.28
Humboldt Park,2021,10,Fire,7.88
Edison Park,2023,11,Fire,8.57
Washington Park,2021,7,Medical,10.17
North Lawndale,2021,12,Medical,6.92
North Lawndale,2019,8,Medical,9.86
Albany Park,2021,4,Police,8.51
Near North Side,2023,9,Police,8.13
Humboldt Park,2024,6,Police,10.57
West Town,2019,12,Medical,9.14
Austin,2019,8,Police,7.91
West Ridge,2021,9,Police,5.0
Roseland,2021,1,Police,14.52
Roseland,2022,5,Medical,8.75
North Lawndale,2023,7,Police,10.67
Pullman,2024,10,Fire,10.19
Logan Square,2023,2,Fire,7.6
Loop,2020,12,Fire,11.67
West Englewood,2024,11,Fire,9.37
Grand Boulevard,2020,7,Police,7.24
Riverdale,2023,7,Medical,9.72
Beverly,2021,3,Medical,10.54
West Englewood,2019,9,Medical,13.28
Greater Grand Crossing,2022,7,Fire,9.8
Loop,2021,12,Medical,5.32
Uptown,2024,12,Police,14.75
Edison Park,2024,10,Police,4.3
Mount Greenwood,2019,11,Police,12.22
West Pullman,2024,5,Police,10.25
Chatham,2023,7,Police,12.37
Near North Side,2024,7,Medical,8.74
West Ridge,2021,6,Medical,9.45
Near South Side,2024,4,Medical,8.01
Lincoln Park,2022,8,Medical,2.34
South Shore,2024,12,Medical,10.9
Greater Grand Crossing,2020,2,Fire,10.2
West Pullman,2019,8,Medical,9.6
Jefferson Park,2021,5,Police,10.99
Portage Park,2022,7,Medical,7.6
Grand Boulevard,2021,3,Police,8.15
Portage Park,2023,7,Police,13.71
West Ridge,2019,9,Medical,7.69
Uptown,2023,7,Police,8.61
Portage Park,2024,1,Police,10.98
West Englewood,2023,9,Police,10.59
West Town,2024,7,Police,7.69
Portage Park,2020,2,Police,14.97
Pullman,2023,5,Medical,10.0
South Shore,2022,11,Medical,11.22
South Shore,2019,10,Medical,13.7
West Pullman,2020,2,Fire,7.14
Washington Park,2021,7,Medical,9.89
Loop,2023,9,Medical,6.47
South Shore,2021,4,Police,9.14
Washington Park,2020,3,Medical,6.62
Portage Park,2021,6,Police,10.92
Near West Side,2022,8,Medical,12.28
South Shore,2020,8,Medical,10.08
Rogers Park,2019,8,Medical,9.15
Lake View,2019,5,Medical,4.17
Albany Park,2019,11,Police,6.91
Englewood,2019,12,Police,11.73
Greater Grand Crossing,2020,6,Fire,11.53
West Ridge,2020,12,Fire,10.18
North Lawndale,2024,2,Police,11.99
Logan Square,2020,6,Medical,7.79
Lake View,2023,5,Medical,7.64
Loop,2024,3,Medical,6.54
West Ridge,2020,8,Medical,7.89
Portage Park,2020,4,Police,8.85
Roseland,2020,2,Police,10.43
West Pullman,2019,11,Police,9.14
West Pullman,2022,3,Police,13.42
Beverly,2019,2,Police,7.11
South Shore,2024,2,Fire,7.65
Albany Park,2022,3,Police,9.7
Douglas,2022,7,Medical,8.74
West Garfield Park,2022,10,Fire,12.98
Douglas,2024,1,Medical,11.98
Near West Side,2024,10,Medical,12.22
West Garfield Park,2019,6,Fire,8.87
Kenwood,2023,11,Medical,6.97
Greater Grand Crossing,2021,1,Fire,8.78
West Pullman,2023,3,Fire,9.06
Greater Grand Crossing,2019,12,Medical,13.55
South Shore,2022,4,Fire,13.23
Humboldt Park,2021,8,Medical,10.25
Greater Grand Crossing,2023,2,Police,8.26
Lincoln Park,2024,7,Medical,2.24
Jefferson Park,2024,3,Medical,8.44
Near South Side,2020,1,Police,12.49
Irving Park,2024,6,Police,7.11
Roseland,2023,2,Medical,6.49
Pullman,2019,3,Police,8.3
Mount Greenwood,2021,6,Police,11.14
Lincoln Square,2020,3,Police,10.78
Pullman,2024,12,Fire,8.53
Woodlawn,2024,5,Police,10.05
Washington Park,2021,3,Police,11.0
Lake View,2021,12,Police,8.39
Lincoln Park,2023,7,Medical,7.23
Lake View,2024,7,Police,5.56
Woodlawn,2022,12,Police,12.59
Edison Park,2024,1,Police,4.17
Jefferson Park,2023,6,Medical,11.59
West Town,2020,3,Medical,5.69
Greater Grand Crossing,2019,7,Medical,11.51
Morgan Park,2024,1,Police,9.2
Near North Side,2023,10,Fire,4.2
West Pullman,2022,3,Police,10.1
Edison Park,2022,12,Medical,5.76
West Town,2023,10,Medical,5.73
Auburn Gresham,2020,2,Police,9.86
Near West Side,2022,8,Medical,5.13
Washington Heights,2022,8,Medical,8.26
Lincoln Park,2024,11,Medical,3.18
Near West Side,2024,9,Medical,7.37
South Shore,2020,9,Medical,6.49
West Garfield Park,2020,11,Medical,6.15
Near West Side,2020,2,Police,9.29
Pullman,2020,7,Police,9.16
Portage Park,2023,7,Police,8.2
West Town,2023,4,Medical,8.36
Albany Park,2021,6,Police,11.35
Grand Boulevard,2021,1,Fire,9.83
Uptown,2021,6,Medical,9.55
Uptown,2022,1,Medical,7.84
North Lawndale,2020,5,Medical,12.7
Washington Park,2023,4,Medical,7.74
Loop,2023,6,Police,3.41
Chatham,2020,11,Police,11.5
Douglas,2021,11,Police,6.28
West Town,2024,5,Medical,9.45
Washington Heights,2022,5,Police,11.38
Albany Park,2023,3,Fire,8.89
Near South Side,2019,10,Police,14.79
Chatham,2022,2,Police,10.85
West Pullman,2022,7,Medical,8.82
Albany Park,2021,10,Fire,11.11
Logan Square,2020,12,Fire,12.43
Grand Boulevard,2019,8,Police,7.7
Grand Boulevard,2021,5,Medical,8.0
Pullman,2020,9,Police,12.34
Lincoln Square,2019,1,Police,10.63
Uptown,2024,3,Medical,11.75
Near South Side,2024,8,Medical,7.37
West Ridge,2023,5,Police,8.62
Lincoln Square,2019,2,Medical,6.46
Rogers Park,2021,10,Police,8.38
West Town,2019,9,Fire,7.77
Riverdale,2019,1,Medical,10.07
Lincoln Park,2019,3,Police,6.95
Near North Side,2023,4,Police,6.01
Near West Side,2024,7,Police,8.34
Rogers Park,2024,4,Medical,10.0
Washington Heights,2020,11,Medical,7.04
Near West Side,2019,2,Fire,11.04
Hyde Park,2022,2,Medical,11.11
Irving Park,2021,10,Police,7.99
Douglas,2022,1,Medical,8.87
Logan Square,2020,7,Police,7.62
South Shore,2021,9,Police,14.08
Humboldt Park,2020,12,Police,12.27
Douglas,2021,10,Police,13.3
Roseland,2024,2,Police,10.28
Loop,2024,7,Medical,9.47
Woodlawn,2022,8,Police,8.76
Beverly,2022,3,Medical,6.69
Morgan Park,2023,4,Police,8.26
Englewood,2020,9,Police,16.34
Washington Heights,2022,4,Medical,7.45
Morgan Park,2021,6,Police,8.52
Auburn Gresham,2019,8,Medical,7.18
Rogers Park,2019,10,Police,13.81
West Town,2019,2,Police,6.46
West Pullman,2023,1,Medical,7.31
Edison Park,2022,7,Fire,3.57
Riverdale,2020,1,Police,9.24
North Lawndale,2020,4,Police,6.94
Chatham,2023,5,Police,11.12
West Pullman,2021,2,Medical,8.86
Riverdale,2024,10,Fire,10.99
Lake View,2022,4,Medical,4.34
North Lawndale,2022,11,Medical,7.95
Albany Park,2021,11,Medical,8.72
Greater Grand Crossing,2021,10,Medical,10.42
Riverdale,2022,11,Police,11.35
Grand Boulevard,2022,7,Police,8.74
Mount Greenwood,2019,4,Medical,7.61
Lake View,2020,11,Fire,4.35
Englewood,2019,1,Medical,11.04
Kenwood,2019,12,Police,13.47
West Garfield Park,2020,10,Police,7.88
Pullman,2023,4,Fire,8.09
Near North Side,2024,11,Medical,4.74
West Garfield Park,2023,12,Medical,11.83
South Shore,2023,6,Fire,10.47
Beverly,2023,12,Fire,8.68
Douglas,2021,5,Police,11.88
West Town,2019,4,Medical,13.93
Auburn Gresham,2021,2,Medical,11.06
West Town,2021,10,Medical,9.79
Washington Park,2020,11,Fire,10.66
Near South Side,2023,6,Medical,10.72
Beverly,2022,12,Medical,5.32
West Ridge,2023,6,Fire,8.71
Woodlawn,2019,6,Medical,9.16
West Pullman,2021,4,Police,11.53
Near South Side,2019,8,Police,15.08
Lincoln Square,2021,1,Medical,11.69
Near West Side,2021,10,Medical,7.7
West Ridge,2021,8,Medical,5.82
